index,store_ID_x,store_ID_y,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,415,7,01/03/2015,0,0,0,0,0,0
558468,27,27,7,29/12/2013,0,0,0,0,0,0
76950,404,404,3,19/03/2014,657,1,1,0,0,5483
77556,683,683,2,29/01/2013,862,1,0,0,0,9325
456344,920,920,3,19/03/2014,591,1,1,0,0,5402
436466,758,758,4,26/06/2014,569,1,0,0,0,3897
646251,563,563,1,16/02/2015,321,1,1,0,0,3013
650464,930,930,6,22/11/2014,1367,1,0,0,0,7724
162710,756,756,4,04/06/2015,0,0,1,a,0,0
100327,49,49,2,13/01/2015,546,1,1,0,0,7062
374540,787,787,4,23/07/2015,968,1,0,0,1,7887
399143,782,782,4,19/09/2013,472,1,0,0,0,4406
44740,897,897,7,20/04/2014,0,0,0,0,0,0
674144,933,933,1,09/12/2013,965,1,0,0,0,8076
81595,218,218,2,07/04/2015,804,1,0,0,1,5271
416724,554,554,3,09/10/2013,499,1,1,0,1,3947
632687,362,362,1,12/08/2013,1337,1,1,0,1,13705
351899,655,655,3,09/04/2014,560,1,0,0,0,6288
515940,785,785,3,31/12/2014,461,1,0,0,1,4684
567411,690,690,3,19/03/2014,866,1,1,0,0,6138
274598,1103,1103,7,15/02/2015,0,0,0,0,0,0
417880,431,431,1,02/06/2014,1367,1,1,0,0,14592
453710,127,127,2,24/09/2013,642,1,1,0,0,5536
597622,579,579,5,29/03/2013,0,0,1,b,1,0
223346,248,248,6,03/08/2013,1139,1,0,0,0,8013
630018,962,962,6,11/01/2014,0,0,0,0,0,0
355860,224,224,2,26/03/2013,515,1,1,0,1,7690
360080,208,208,3,19/06/2013,355,1,1,0,1,2446
129544,401,401,1,30/03/2015,1063,1,1,0,0,15196
422545,503,503,7,29/09/2013,0,0,0,0,0,0
174199,221,221,4,05/03/2015,562,1,1,0,0,6209
118613,268,268,7,02/11/2014,0,0,0,0,0,0
60310,799,799,2,27/08/2013,927,1,1,0,1,10586
328458,260,260,6,25/10/2014,894,1,0,0,0,6229
200661,1041,1041,2,10/03/2015,594,1,0,0,0,5056
179581,350,350,2,18/06/2013,533,1,1,0,0,7533
587612,286,286,7,05/04/2015,0,0,0,0,0,0
320169,620,620,2,04/06/2013,709,1,1,0,0,7550
